fila_csv,conjunto
451,entrenamiento
452,entrenamiento
453,prueba
454,validacion
455,entrenamiento
456,entrenamiento
457,entrenamiento
458,entrenamiento
459,entrenamiento
460,entrenamiento
461,entrenamiento
462,prueba
463,entrenamiento
464,entrenamiento
465,prueba
466,prueba
467,validacion
468,entrenamiento
469,prueba
470,entrenamiento
471,entrenamiento
472,entrenamiento
473,entrenamiento
474,prueba
475,entrenamiento
476,entrenamiento
477,entrenamiento
478,entrenamiento
479,entrenamiento
480,entrenamiento
481,prueba
482,entrenamiento
483,entrenamiento
484,validacion
485,entrenamiento
486,entrenamiento
487,entrenamiento
488,entrenamiento
489,prueba
490,entrenamiento
491,entrenamiento
492,entrenamiento
493,prueba
494,validacion
495,entrenamiento
496,prueba
497,entrenamiento
498,entrenamiento
499,prueba
500,entrenamiento
501,entrenamiento
502,prueba
503,entrenamiento
504,entrenamiento
505,prueba
506,prueba
507,validacion
508,entrenamiento
509,entrenamiento
510,validacion
511,validacion
512,entrenamiento
513,entrenamiento
514,entrenamiento
515,entrenamiento
516,prueba
517,prueba
518,entrenamiento
519,entrenamiento
520,entrenamiento
521,entrenamiento
522,validacion
523,prueba
524,entrenamiento
525,prueba
526,entrenamiento
527,entrenamiento
528,validacion
529,validacion
530,entrenamiento
531,entrenamiento
532,entrenamiento
533,entrenamiento
534,entrenamiento
535,entrenamiento
536,entrenamiento
537,entrenamiento
538,validacion
539,prueba
540,prueba
541,entrenamiento
542,entrenamiento
543,prueba
544,entrenamiento
545,prueba
546,validacion
547,entrenamiento
548,entrenamiento
549,entrenamiento
550,entrenamiento
551,entrenamiento
552,entrenamiento
553,prueba
554,prueba
555,entrenamiento
556,prueba
557,validacion
558,entrenamiento
559,entrenamiento
560,entrenamiento
561,entrenamiento
562,validacion
563,prueba
564,validacion
565,entrenamiento
566,prueba
567,entrenamiento
568,entrenamiento
569,entrenamiento
570,entrenamiento
571,entrenamiento
572,validacion
573,entrenamiento
574,validacion
575,entrenamiento
576,entrenamiento
577,prueba
578,prueba
579,entrenamiento
580,validacion
581,prueba
582,entrenamiento
583,entrenamiento
584,entrenamiento
585,validacion
586,entrenamiento
587,entrenamiento
588,entrenamiento
589,validacion
590,entrenamiento
591,entrenamiento
592,entrenamiento
593,prueba
594,entrenamiento
595,entrenamiento
596,entrenamiento
597,entrenamiento
598,entrenamiento
599,entrenamiento
600,entrenamiento
601,prueba
602,entrenamiento
603,entrenamiento
604,validacion
605,entrenamiento
606,entrenamiento
607,entrenamiento
608,entrenamiento
609,entrenamiento
610,validacion
611,prueba
612,entrenamiento
613,entrenamiento
614,entrenamiento
615,validacion
616,validacion
617,validacion
618,entrenamiento
619,entrenamiento
620,prueba
621,entrenamiento
622,entrenamiento
623,prueba
624,entrenamiento
625,prueba
626,entrenamiento
627,entrenamiento
628,entrenamiento
629,validacion
630,validacion
631,prueba
632,entrenamiento
633,entrenamiento
634,entrenamiento
635,entrenamiento
636,entrenamiento
637,entrenamiento
638,prueba
639,entrenamiento
640,entrenamiento
641,entrenamiento
642,entrenamiento
643,entrenamiento
644,entrenamiento
645,entrenamiento
646,entrenamiento
647,entrenamiento
648,validacion
649,entrenamiento
650,entrenamiento
651,prueba
652,prueba
653,entrenamiento
654,prueba
655,prueba
656,entrenamiento
657,entrenamiento
658,validacion
659,entrenamiento
660,entrenamiento
661,prueba
662,validacion
663,prueba
664,entrenamiento
665,entrenamiento
666,entrenamiento
667,entrenamiento
668,entrenamiento
669,prueba
670,validacion
671,entrenamiento
672,prueba
673,validacion
674,entrenamiento
675,entrenamiento
676,entrenamiento
677,entrenamiento
678,validacion
679,validacion
680,entrenamiento
681,validacion
682,validacion
683,prueba
684,entrenamiento
685,entrenamiento
686,entrenamiento
687,validacion
688,entrenamiento
689,entrenamiento
690,entrenamiento
691,entrenamiento
692,validacion
693,entrenamiento
694,entrenamiento
695,entrenamiento
696,entrenamiento
697,prueba
698,prueba
699,prueba
700,entrenamiento
701,entrenamiento
702,entrenamiento
703,entrenamiento
704,entrenamiento
705,entrenamiento
706,entrenamiento
707,entrenamiento
708,entrenamiento
709,entrenamiento
710,validacion
711,entrenamiento
712,prueba
713,prueba
714,entrenamiento
715,prueba
716,entrenamiento
717,validacion
718,entrenamiento
719,prueba
720,entrenamiento
721,entrenamiento
722,entrenamiento
723,entrenamiento
724,entrenamiento
725,prueba
726,entrenamiento
727,entrenamiento
728,entrenamiento
729,validacion
730,entrenamiento
731,entrenamiento
732,entrenamiento
733,prueba
734,entrenamiento
735,entrenamiento
736,entrenamiento
737,entrenamiento
738,prueba
739,entrenamiento
740,prueba
741,prueba
742,prueba
743,entrenamiento
744,entrenamiento
745,entrenamiento
746,validacion
747,validacion
748,entrenamiento
749,entrenamiento
750,prueba
751,entrenamiento
752,entrenamiento
753,validacion
754,validacion
755,entrenamiento
756,entrenamiento
757,entrenamiento
758,validacion
759,entrenamiento
760,entrenamiento
761,validacion
762,entrenamiento
763,validacion
764,entrenamiento
765,entrenamiento
766,prueba
767,entrenamiento
768,validacion
769,entrenamiento
770,entrenamiento
771,entrenamiento
772,entrenamiento
773,validacion
774,validacion
775,entrenamiento
776,entrenamiento
777,entrenamiento
778,entrenamiento
779,validacion
780,validacion
781,entrenamiento
782,prueba
783,entrenamiento
784,prueba
785,prueba
786,validacion
787,entrenamiento
788,entrenamiento
789,prueba
790,validacion
791,entrenamiento
792,validacion
793,entrenamiento
794,prueba
795,entrenamiento
796,entrenamiento
797,entrenamiento
798,entrenamiento
799,entrenamiento
800,entrenamiento
801,validacion
802,entrenamiento
803,entrenamiento
804,entrenamiento
805,prueba
806,prueba
807,validacion
808,entrenamiento
809,entrenamiento
810,entrenamiento
811,entrenamiento
812,entrenamiento
813,validacion
814,entrenamiento
815,prueba
816,entrenamiento
817,entrenamiento
818,validacion
819,entrenamiento
820,entrenamiento
821,entrenamiento
822,entrenamiento
823,validacion
824,entrenamiento
825,entrenamiento
826,entrenamiento
827,entrenamiento
828,entrenamiento
829,entrenamiento
830,prueba
831,entrenamiento
832,entrenamiento
833,entrenamiento
834,entrenamiento
835,entrenamiento
836,validacion
837,prueba
838,entrenamiento
839,prueba
840,prueba
841,entrenamiento
842,prueba
843,entrenamiento
844,validacion
845,entrenamiento
846,validacion
847,entrenamiento
848,prueba
849,prueba
850,prueba
851,validacion
852,entrenamiento
853,entrenamiento
854,prueba
855,entrenamiento
856,entrenamiento
857,validacion
858,entrenamiento
859,entrenamiento
860,entrenamiento
861,entrenamiento
862,entrenamiento
863,validacion
864,entrenamiento
865,entrenamiento
866,entrenamiento
867,entrenamiento
868,validacion
869,entrenamiento
870,entrenamiento
871,entrenamiento
872,entrenamiento
873,validacion
874,entrenamiento
875,entrenamiento
876,entrenamiento
877,entrenamiento
878,entrenamiento
879,validacion
880,entrenamiento
881,prueba
882,entrenamiento
883,entrenamiento
884,validacion
885,prueba
886,validacion
887,entrenamiento
888,prueba
889,validacion
890,entrenamiento
891,entrenamiento
892,entrenamiento
893,entrenamiento
894,entrenamiento
895,entrenamiento
896,prueba
897,validacion
898,entrenamiento
899,entrenamiento
900,entrenamiento
901,validacion
902,entrenamiento
903,entrenamiento
904,validacion
905,entrenamiento
906,validacion
907,entrenamiento
908,entrenamiento
909,entrenamiento
910,entrenamiento
911,entrenamiento
912,entrenamiento
913,entrenamiento
914,entrenamiento
915,entrenamiento
916,prueba
917,entrenamiento
918,entrenamiento
919,validacion
920,entrenamiento
921,entrenamiento
922,validacion
923,entrenamiento
924,entrenamiento
925,entrenamiento
926,entrenamiento
927,prueba
928,entrenamiento
929,prueba
930,entrenamiento
931,entrenamiento
932,entrenamiento
933,entrenamiento
934,prueba
935,entrenamiento
936,entrenamiento
937,entrenamiento
938,validacion
939,entrenamiento
940,entrenamiento
941,validacion
942,entrenamiento
943,entrenamiento
944,entrenamiento
945,entrenamiento
946,entrenamiento
947,entrenamiento
948,entrenamiento
949,validacion
950,prueba
951,entrenamiento
952,entrenamiento
953,entrenamiento
954,entrenamiento
955,entrenamiento
956,entrenamiento
957,validacion
958,entrenamiento
959,entrenamiento
960,prueba
961,prueba
962,entrenamiento
963,validacion
964,validacion
965,entrenamiento
966,entrenamiento
967,entrenamiento
968,validacion
969,entrenamiento
970,entrenamiento
971,validacion
972,entrenamiento
973,entrenamiento
974,entrenamiento
975,prueba
976,prueba
977,prueba
978,entrenamiento
979,entrenamiento
980,entrenamiento
981,entrenamiento
982,entrenamiento
983,entrenamiento
984,entrenamiento
985,prueba
986,entrenamiento
987,validacion
988,entrenamiento
989,prueba
990,entrenamiento
991,entrenamiento
992,entrenamiento
993,entrenamiento
994,prueba
995,prueba
996,validacion
997,entrenamiento
998,entrenamiento
999,validacion
1000,entrenamiento
1001,validacion
1002,entrenamiento
1003,entrenamiento
1004,entrenamiento
1005,entrenamiento
1006,validacion
1007,entrenamiento
1008,prueba
1009,prueba
1010,entrenamiento
1011,entrenamiento
1012,entrenamiento
1013,entrenamiento
1014,entrenamiento
1015,entrenamiento
1016,prueba
1017,prueba
1018,entrenamiento
1019,validacion
1020,entrenamiento
1021,entrenamiento
1022,entrenamiento
1023,entrenamiento
1024,entrenamiento
1025,entrenamiento
1026,entrenamiento
1027,entrenamiento
1028,entrenamiento
1029,prueba
1030,entrenamiento
1031,entrenamiento
1032,entrenamiento
1033,entrenamiento
1034,entrenamiento
1035,entrenamiento
1036,entrenamiento
1037,entrenamiento
1038,entrenamiento
1039,entrenamiento
1040,entrenamiento
1041,entrenamiento
1042,validacion
1043,entrenamiento
1044,validacion
1045,validacion
1046,entrenamiento
1047,validacion
1048,entrenamiento
1049,entrenamiento
1050,entrenamiento
1051,prueba
1052,entrenamiento
1053,prueba
1054,entrenamiento
1055,prueba
1056,validacion
1057,prueba
1058,entrenamiento
1059,entrenamiento
1060,validacion
1061,entrenamiento
1062,entrenamiento
1063,entrenamiento
1064,entrenamiento
1065,entrenamiento
1066,validacion
1067,prueba
1068,entrenamiento
1069,entrenamiento
1070,entrenamiento
1071,entrenamiento
1072,entrenamiento
1073,prueba
1074,validacion
1075,entrenamiento
1076,entrenamiento
1077,prueba
1078,entrenamiento
1079,prueba
1080,prueba
1081,entrenamiento
1082,validacion
1083,entrenamiento
1084,entrenamiento
1085,entrenamiento
1086,entrenamiento
1087,entrenamiento
1088,validacion
1089,prueba
1090,entrenamiento
1091,validacion
1092,entrenamiento
1093,entrenamiento
1094,entrenamiento
1095,entrenamiento
1096,entrenamiento
1097,entrenamiento
1098,validacion
1099,prueba
1100,entrenamiento
1101,prueba
1102,entrenamiento
1103,entrenamiento
1104,prueba
1105,entrenamiento
1106,prueba
1107,prueba
1108,entrenamiento
1109,entrenamiento
1110,entrenamiento
1111,entrenamiento
1112,entrenamiento
1113,validacion
1114,entrenamiento
1115,validacion
1116,entrenamiento
1117,entrenamiento
1118,entrenamiento
1119,prueba
1120,validacion
1121,prueba
1122,entrenamiento
1123,entrenamiento
1124,entrenamiento
1125,validacion
1126,entrenamiento
1127,prueba
1128,entrenamiento
1129,validacion
1130,validacion
1131,validacion
1132,prueba
1133,entrenamiento
1134,prueba
1135,validacion
1136,entrenamiento
1137,entrenamiento
1138,entrenamiento
1139,entrenamiento
1140,entrenamiento
1141,entrenamiento
1142,validacion
1143,entrenamiento
1144,entrenamiento
1145,validacion
1146,entrenamiento
1147,entrenamiento
1148,entrenamiento
1149,entrenamiento
1150,entrenamiento
1151,prueba
1152,entrenamiento
1153,entrenamiento
1154,entrenamiento
1155,validacion
1156,prueba
1157,prueba
1158,entrenamiento
1159,validacion
1160,entrenamiento
1161,prueba
1162,entrenamiento
1163,validacion
1164,entrenamiento
1165,entrenamiento
1166,entrenamiento
1167,entrenamiento
1168,entrenamiento
1169,entrenamiento
1170,entrenamiento
1171,entrenamiento
1172,entrenamiento
1173,prueba
1174,entrenamiento
1175,validacion
1176,entrenamiento
1177,entrenamiento
1178,validacion
1179,entrenamiento
1180,entrenamiento
1181,validacion
1182,entrenamiento
1183,entrenamiento
1184,validacion
1185,entrenamiento
1186,entrenamiento
1187,entrenamiento
1188,entrenamiento
1189,entrenamiento
1190,prueba
1191,validacion
1192,entrenamiento
1193,entrenamiento
1194,validacion
1195,entrenamiento
1196,prueba
1197,entrenamiento
1198,validacion
1199,entrenamiento
1200,entrenamiento
1201,entrenamiento
1202,validacion
1203,prueba
1204,prueba
1205,entrenamiento
1206,entrenamiento
1207,prueba
1208,entrenamiento
1209,entrenamiento
1210,entrenamiento
1211,entrenamiento
1212,entrenamiento
1213,entrenamiento
1214,entrenamiento
1215,entrenamiento
1216,validacion
1217,prueba
1218,entrenamiento
1219,prueba
1220,entrenamiento
1221,validacion
1222,entrenamiento
1223,prueba
1224,validacion
1225,validacion
1226,entrenamiento
1227,validacion
1228,validacion
1229,prueba
1230,entrenamiento
1231,entrenamiento
1232,entrenamiento
1233,validacion
1234,entrenamiento
1235,entrenamiento
1236,entrenamiento
1237,prueba
1238,validacion
1239,entrenamiento
1240,prueba
1241,prueba
1242,entrenamiento
1243,entrenamiento
1244,prueba
1245,entrenamiento
1246,entrenamiento
1247,entrenamiento
1248,entrenamiento
1249,entrenamiento
1250,entrenamiento
1251,validacion
1252,validacion
1253,validacion
1254,prueba
1255,entrenamiento
1256,prueba
1257,validacion
1258,entrenamiento
1259,entrenamiento
1260,prueba
1261,entrenamiento
1262,validacion
1263,entrenamiento
1264,validacion
1265,entrenamiento
1266,entrenamiento
1267,prueba
1268,entrenamiento
1269,entrenamiento
1270,validacion
1271,entrenamiento
1272,prueba
1273,entrenamiento
1274,entrenamiento
1275,prueba
1276,validacion
1277,entrenamiento
1278,entrenamiento
1279,entrenamiento
1280,entrenamiento
1281,validacion
1282,entrenamiento
1283,entrenamiento
1284,prueba
1285,prueba
1286,prueba
1287,prueba
1288,entrenamiento
1289,entrenamiento
1290,entrenamiento
1291,entrenamiento
1292,entrenamiento
1293,entrenamiento
1294,entrenamiento
1295,entrenamiento
1296,validacion
1297,entrenamiento
1298,entrenamiento
1299,entrenamiento
1300,entrenamiento
1301,entrenamiento
1302,prueba
1303,entrenamiento
1304,entrenamiento
1305,validacion
1306,validacion
1307,entrenamiento
1308,prueba
1309,entrenamiento
1310,entrenamiento
1311,entrenamiento
1312,prueba
1313,entrenamiento
1314,validacion
1315,entrenamiento
1316,entrenamiento
1317,validacion
1318,entrenamiento
1319,entrenamiento
1320,entrenamiento
1321,entrenamiento
1322,entrenamiento
1323,entrenamiento
1324,validacion
1325,entrenamiento
1326,entrenamiento
1327,prueba
1328,entrenamiento
1329,prueba
1330,entrenamiento
1331,entrenamiento
1332,validacion
1333,validacion
1334,prueba
1335,entrenamiento
1336,entrenamiento
1337,entrenamiento
1338,validacion
1339,entrenamiento
1340,validacion
1341,prueba
1342,entrenamiento
1343,entrenamiento
1344,prueba
1345,entrenamiento
1346,prueba
1347,entrenamiento
1348,entrenamiento
1349,validacion
1350,entrenamiento
1351,entrenamiento
1352,entrenamiento
1353,entrenamiento
1354,validacion
1355,entrenamiento
1356,prueba
1357,entrenamiento
1358,entrenamiento
1359,entrenamiento
1360,entrenamiento
1361,entrenamiento
1362,entrenamiento
1363,entrenamiento
1364,validacion
1365,entrenamiento
1366,validacion
1367,entrenamiento
1368,prueba
1369,prueba
1370,prueba
1371,entrenamiento
1372,prueba
1373,validacion
1374,prueba
1375,validacion
1376,entrenamiento
1377,validacion
1378,entrenamiento
1379,validacion
1380,entrenamiento
1381,validacion
1382,entrenamiento
1383,validacion
1384,entrenamiento
1385,entrenamiento
1386,validacion
1387,validacion
1388,prueba
1389,prueba
1390,entrenamiento
1391,validacion
1392,prueba
1393,entrenamiento
1394,validacion
1395,validacion
1396,entrenamiento
1397,prueba
1398,validacion
1399,entrenamiento
1400,prueba
1401,validacion
1402,entrenamiento
1403,entrenamiento
1404,prueba
1405,entrenamiento
1406,entrenamiento
1407,validacion
1408,prueba
1409,entrenamiento
1410,prueba
1411,prueba
1412,validacion
1413,prueba
1414,entrenamiento
1415,entrenamiento
1416,entrenamiento
1417,entrenamiento
1418,entrenamiento
1419,entrenamiento
1420,entrenamiento
1421,entrenamiento
1422,prueba
1423,entrenamiento
1424,entrenamiento
1425,validacion
1426,entrenamiento
1427,validacion
1428,entrenamiento
1429,prueba
1430,entrenamiento
1431,entrenamiento
1432,validacion
1433,validacion
1434,prueba
1435,entrenamiento
1436,entrenamiento
1437,prueba
1438,prueba
1439,entrenamiento
1440,entrenamiento
1441,prueba
1442,prueba
1443,entrenamiento
1444,entrenamiento
1445,entrenamiento
1446,entrenamiento
1447,validacion
1448,entrenamiento
1449,entrenamiento
1450,entrenamiento
1451,prueba
1452,validacion
1453,entrenamiento
1454,entrenamiento
1455,entrenamiento
1456,prueba
1457,entrenamiento
1458,prueba
1459,entrenamiento
1460,prueba
1461,prueba
1462,validacion
1463,validacion
1464,entrenamiento
1465,entrenamiento
1466,validacion
1467,entrenamiento
1468,entrenamiento
1469,prueba
1470,prueba
1471,validacion
1472,entrenamiento
1473,entrenamiento
1474,entrenamiento
1475,entrenamiento
1476,entrenamiento
1477,entrenamiento
1478,entrenamiento
1479,entrenamiento
1480,entrenamiento
1481,entrenamiento
1482,entrenamiento
1483,entrenamiento
1484,entrenamiento
1485,validacion
1486,validacion
1487,entrenamiento
1488,prueba
1489,entrenamiento
1490,prueba
1491,entrenamiento
1492,prueba
1493,entrenamiento
1494,entrenamiento
1495,entrenamiento
1496,entrenamiento
1497,validacion
1498,entrenamiento
1499,prueba
1500,validacion
1501,prueba
1502,entrenamiento
1503,entrenamiento
1504,entrenamiento
1505,entrenamiento
1506,validacion
1507,entrenamiento
1508,entrenamiento
1509,entrenamiento
1510,validacion
1511,entrenamiento
1512,entrenamiento
1513,entrenamiento
1514,entrenamiento
1515,entrenamiento
1516,entrenamiento
1517,validacion
1518,entrenamiento
1519,validacion
1520,entrenamiento
1521,entrenamiento
1522,entrenamiento
1523,entrenamiento
1524,entrenamiento
1525,validacion
1526,validacion
1527,validacion
1528,prueba
1529,entrenamiento
1530,entrenamiento
1531,prueba
1532,entrenamiento
1533,entrenamiento
1534,prueba
1535,entrenamiento
1536,validacion
1537,prueba
1538,entrenamiento
1539,entrenamiento
1540,entrenamiento
1541,entrenamiento
1542,entrenamiento
1543,entrenamiento
1544,entrenamiento
1545,entrenamiento
1546,prueba
1547,entrenamiento
1548,prueba
1549,entrenamiento
1550,entrenamiento
1551,entrenamiento
1552,prueba
1553,prueba
1554,entrenamiento
1555,prueba
1556,entrenamiento
1557,entrenamiento
1558,validacion
1559,entrenamiento
1560,prueba
1561,entrenamiento
1562,entrenamiento
1563,entrenamiento
1564,entrenamiento
1565,validacion
1566,prueba
1567,entrenamiento
1568,prueba
1569,prueba
1570,prueba
1571,entrenamiento
1572,entrenamiento
1573,prueba
1574,entrenamiento
1575,entrenamiento
1576,prueba
1577,entrenamiento
1578,entrenamiento
1579,entrenamiento
1580,entrenamiento
1581,entrenamiento
1582,entrenamiento
1583,entrenamiento
1584,prueba
1585,validacion
1586,entrenamiento
1587,entrenamiento
1588,validacion
1589,validacion
1590,entrenamiento
1591,entrenamiento
1592,entrenamiento
1593,entrenamiento
1594,entrenamiento
1595,entrenamiento
1596,entrenamiento
1597,entrenamiento
1598,entrenamiento
1599,entrenamiento
1600,prueba
1601,validacion
1602,prueba
1603,entrenamiento
1604,entrenamiento
1605,entrenamiento
1606,validacion
1607,prueba
1608,prueba
1609,entrenamiento
1610,entrenamiento
1611,entrenamiento
1612,entrenamiento
1613,prueba
1614,entrenamiento
1615,entrenamiento
1616,entrenamiento
1617,entrenamiento
1618,entrenamiento
1619,validacion
1620,entrenamiento
1621,prueba
1622,validacion
1623,validacion
1624,validacion
1625,entrenamiento
1626,entrenamiento
1627,validacion
1628,entrenamiento
1629,entrenamiento
1630,prueba
1631,prueba
1632,entrenamiento
1633,prueba
1634,entrenamiento
1635,entrenamiento
1636,entrenamiento
1637,entrenamiento
1638,entrenamiento
1639,entrenamiento
1640,entrenamiento
1641,entrenamiento
1642,entrenamiento
1643,prueba
1644,entrenamiento
1645,prueba
1646,entrenamiento
1647,entrenamiento
1648,entrenamiento
1649,entrenamiento
1650,entrenamiento
1651,entrenamiento
1652,entrenamiento
1653,prueba
1654,entrenamiento
1655,validacion
1656,entrenamiento
1657,entrenamiento
1658,entrenamiento
1659,entrenamiento
1660,entrenamiento
1661,entrenamiento
1662,entrenamiento
1663,entrenamiento
1664,entrenamiento
1665,entrenamiento
1666,entrenamiento
1667,prueba
1668,entrenamiento
1669,prueba
1670,entrenamiento
1671,entrenamiento
1672,entrenamiento
1673,entrenamiento
1674,entrenamiento
1675,entrenamiento
1676,entrenamiento
